customer_id,subscription_length_months,customer_satisfaction_score,daily_watch_time_hours,engagement_rate,subscription_plan,support_queries_logged,age,monthly_income_usd,promotional_offers_used,number_of_profiles_created,device_used_most_often_desktop,device_used_most_often_laptop,device_used_most_often_mobile,device_used_most_often_smart_tv,device_used_most_often_tablet,genre_preference_action,genre_preference_comedy,genre_preference_documentary,genre_preference_drama,genre_preference_romance,genre_preference_sci_fi,genre_preference_thriller,region_africa,region_asia,region_europe,region_north_america,region_south_america,payment_history_delayed,payment_history_on_time,churn_status
C00019,1,9,1.08,7,1,9,56,1229,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
C00020,6,2,4.27,9,1,6,48,6091,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
C00021,6,3,4.91,3,3,3,70,5614,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C00022,12,4,3.56,6,1,6,44,8947,3,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00023,24,7,0.81,1,3,7,67,6720,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
C00024,24,5,3.36,8,2,0,43,6368,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C00025,6,2,3.11,5,3,4,55,7359,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C00026,1,6,0.77,10,1,5,64,3295,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
C00027,24,9,4.4,3,2,9,36,8345,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
C00028,3,2,2.11,10,2,0,23,8582,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
C00029,12,10,0.92,9,1,6,26,7472,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
C00030,1,7,2.07,9,1,10,43,6153,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
C00031,12,8,1.41,1,3,7,20,6097,1,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C00032,12,6,3.77,2,3,8,56,3059,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
C00033,3,9,3.48,6,3,8,25,9767,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
C00034,12,4,4.97,6,3,6,70,2928,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
C00035,3,10,1.68,1,2,3,37,7751,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
C00036,6,1,3.03,5,1,6,48,4277,4,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C00037,3,2,1.93,6,1,9,25,6098,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
C00038,6,1,1.61,3,1,6,69,6014,5,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
C00039,6,6,4.93,9,3,4,42,8933,5,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
C00040,1,6,5.0,5,1,1,30,1645,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
C00041,1,5,1.04,4,2,1,57,1689,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
C00042,24,4,4.7,8,2,3,37,2406,4,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
C00043,6,3,2.68,10,3,5,27,5419,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
C00044,12,3,2.6,9,3,3,53,3696,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
C00045,3,8,3.01,6,3,9,34,3487,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
C00046,6,10,0.71,9,2,10,44,4510,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C00047,24,4,3.5,3,3,10,56,6064,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
C00048,6,7,0.58,2,3,0,62,7178,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
C00049,3,1,1.48,9,1,6,34,9583,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
C00050,24,1,4.83,2,1,5,19,7295,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00051,6,5,3.85,4,3,3,63,6180,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C00052,24,6,2.95,2,2,2,68,8261,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00053,24,8,1.23,3,1,0,56,5247,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
C00054,1,5,3.14,9,1,0,29,7004,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
C00055,3,5,1.36,4,2,5,20,4544,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
C00056,1,9,2.33,5,3,10,38,3267,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
C00057,1,10,3.17,9,2,6,58,8364,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
C00058,24,4,2.46,5,1,3,48,3936,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
C00059,24,2,3.95,2,3,10,64,8518,4,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C00060,24,4,2.83,1,3,5,18,1893,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
C00061,3,6,3.36,7,3,2,41,2540,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
C00062,3,5,2.26,6,3,0,56,6313,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C00063,6,8,4.83,8,2,4,44,1037,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
C00064,6,5,3.14,1,3,5,49,8562,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
C00065,6,2,1.93,10,2,5,27,7201,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
C00066,1,5,2.28,8,3,3,70,7085,3,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
C00067,24,5,3.18,8,1,0,61,4698,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C00068,12,1,4.32,6,3,3,37,3188,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
C00069,1,1,1.68,3,2,1,67,8818,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
C00070,6,10,1.72,10,2,9,23,1533,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
C00071,12,1,2.74,9,1,3,49,649,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00072,24,2,3.12,3,2,3,31,9897,5,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00073,12,10,2.68,7,3,2,26,7357,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
C00074,12,6,4.59,7,2,10,48,6488,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00075,6,2,1.97,7,1,8,57,2702,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
C00076,1,6,4.03,10,2,1,41,3085,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
C00077,12,4,4.84,8,3,6,36,8691,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00078,12,6,3.01,5,1,9,38,8645,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
C00079,6,6,0.87,3,3,1,44,2082,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
C00080,12,2,4.42,8,1,6,54,3866,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
C00081,1,3,1.06,7,2,9,44,1717,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
C00082,24,9,2.82,6,3,7,35,3577,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C00083,24,5,0.83,8,2,6,70,2676,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C00084,6,8,1.68,8,1,5,19,3394,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C00085,6,5,4.98,5,1,1,43,8991,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00086,1,7,1.87,8,1,5,60,6731,5,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00087,6,2,1.21,3,1,1,20,5244,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
C00088,3,3,1.0,9,1,0,21,7865,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
C00089,1,5,0.96,7,2,8,31,6014,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
C00090,24,6,2.9,4,2,6,40,6615,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00091,6,9,1.84,1,2,7,47,3897,5,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00092,12,2,4.57,9,1,5,36,8823,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
C00093,6,9,1.52,8,3,6,18,6381,5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
C00094,24,5,3.25,7,2,1,55,1487,2,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00095,6,7,3.75,4,3,4,20,7816,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
C00096,6,2,1.15,2,1,2,49,8135,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
C00097,24,2,3.67,7,1,7,33,4332,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
C00098,1,1,3.04,3,2,7,32,9414,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
C00099,12,1,3.72,8,3,1,48,8800,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00100,6,8,3.12,1,2,9,54,899,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00101,1,3,2.02,7,1,4,38,8587,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
C00102,24,8,1.66,1,2,2,49,4434,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
C00103,3,8,3.56,10,3,2,37,9734,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
C00104,12,10,2.16,4,2,8,68,8804,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
C00105,1,7,4.3,7,2,9,33,1549,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C00106,3,6,1.48,2,3,6,52,2472,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
C00107,3,5,3.13,5,2,7,27,8359,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
C00108,6,2,4.37,9,2,6,21,778,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
C00109,24,6,1.29,6,3,3,47,1102,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
C00110,3,2,2.71,2,2,5,52,3665,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
C00111,24,3,0.73,9,3,10,24,5934,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
C00112,3,8,3.77,8,3,5,42,5603,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
C00113,1,1,3.61,1,2,10,30,9852,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
C00114,3,8,3.27,3,3,7,47,1396,4,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
C00115,12,1,4.06,4,2,6,28,2274,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
C00116,1,7,1.48,4,2,10,55,6990,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
C00117,1,9,2.82,9,2,8,61,3728,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
C00118,1,3,3.92,9,2,9,31,4954,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
C00119,12,4,2.66,7,3,2,29,4886,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
C00120,6,4,2.58,6,1,2,54,9951,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
C00121,6,3,3.86,8,2,3,36,8857,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
C00122,12,8,3.33,6,2,4,66,8145,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
C00123,6,5,3.48,8,2,9,70,9654,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
C00124,24,5,1.55,6,3,2,31,2896,3,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
C00125,3,2,0.92,5,1,9,52,8463,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
C00126,1,5,3.04,2,1,5,27,6089,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
C00127,24,5,3.8,9,3,7,26,4761,4,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C00128,24,8,1.73,6,2,7,58,3597,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C00129,24,3,3.59,4,1,5,67,7761,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
C00130,6,4,2.71,7,3,4,49,6118,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C00131,1,1,2.46,5,3,3,21,2380,4,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
C00132,3,4,3.73,9,2,0,59,3509,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
C00133,12,1,1.1,9,2,3,54,3271,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
C00134,1,6,3.66,3,3,4,57,6940,2,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C00135,12,10,4.41,7,3,4,29,4775,4,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
C00136,3,8,1.65,4,1,9,34,7400,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C00137,12,10,0.7,8,2,6,40,2956,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
C00138,6,3,1.26,6,1,9,67,9331,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
C00139,3,2,0.98,8,1,2,59,5318,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
C00140,12,6,2.91,10,3,6,58,6894,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
C00141,6,2,3.65,1,1,2,20,1430,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
C00142,1,6,1.46,1,3,4,67,7170,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
C00143,12,9,1.85,4,1,3,38,3265,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
C00144,24,10,2.8,10,1,5,60,5854,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
C00145,12,7,3.27,2,3,3,53,3724,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C00146,6,10,3.36,2,1,10,34,5939,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C00147,24,9,0.65,5,3,7,65,5687,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
C00148,6,3,1.85,1,2,6,21,8330,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
C00149,1,4,3.95,7,3,9,57,5845,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
C00150,3,10,4.57,6,2,4,23,5480,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
C00151,12,2,1.22,6,2,6,21,2719,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
C00152,24,3,4.93,6,1,1,49,2069,3,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
C00153,1,9,4.67,9,3,9,18,3192,1,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00154,1,10,1.56,8,2,1,54,5121,5,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
C00155,3,8,4.64,2,3,4,29,3993,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
C00156,3,2,3.99,6,1,3,26,2417,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
C00157,24,3,4.22,6,2,1,56,9607,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
C00158,24,7,1.76,1,3,5,36,1383,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
C00159,12,6,1.98,2,3,5,42,7028,4,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
C00160,24,8,2.34,6,2,6,22,5000,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
C00161,6,2,4.13,3,3,9,69,1043,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
C00162,6,5,4.59,4,3,3,62,5021,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
C00163,6,8,2.3,1,3,1,46,6755,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
C00164,1,5,2.53,8,1,0,25,8774,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
C00165,6,6,4.01,2,1,9,21,3764,3,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
C00166,1,7,3.88,1,2,0,50,1154,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C00167,1,3,1.06,10,3,9,29,1172,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C00168,3,7,3.11,1,2,0,34,5523,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
C00169,12,2,2.89,9,3,8,22,911,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
C00170,24,7,4.04,2,1,5,67,3677,5,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
C00171,1,5,0.99,5,3,4,67,5577,0,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
C00172,1,7,4.26,6,3,3,56,1358,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
C00173,12,8,3.13,5,1,6,43,4870,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C00174,3,9,4.06,5,1,6,50,8641,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
C00175,3,3,3.54,3,1,7,60,6922,5,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
C00176,1,8,2.65,6,1,2,21,4925,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
C00177,6,10,1.27,8,1,5,45,7289,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00178,3,5,1.35,8,2,5,18,6584,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C00179,12,8,4.4,8,3,6,53,6478,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C00180,3,2,2.13,5,1,2,49,1091,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
C00181,24,3,3.77,3,2,3,55,3989,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
C00182,6,6,4.33,2,2,4,29,8577,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
C00183,12,7,3.82,2,3,2,22,9202,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
C00184,6,8,2.25,10,1,10,58,8169,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
C00185,24,3,1.72,4,2,1,47,7084,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
C00186,6,2,4.59,8,1,4,46,4460,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
C00187,24,5,2.66,1,3,10,70,6745,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
C00188,24,10,0.76,3,1,2,58,9454,5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
C00189,24,10,2.18,1,3,7,39,3847,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
C00190,12,5,2.32,6,2,0,55,8022,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00191,3,1,2.95,3,3,8,64,4309,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
C00192,24,3,4.61,9,3,7,60,5322,4,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C00193,3,1,3.0,2,1,9,50,9944,3,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
C00194,12,6,3.25,1,3,0,27,705,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
C00195,3,1,0.65,7,1,3,28,1795,5,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
C00196,6,3,4.47,3,3,3,34,8461,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
C00197,24,10,4.03,1,2,9,66,9071,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
C00198,12,1,2.24,3,2,1,68,4242,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C00199,24,5,2.56,10,1,4,18,6086,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
C00200,3,5,1.58,9,3,6,56,2634,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
C00201,6,9,3.3,7,2,6,33,7239,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
