customer_id,churn_probability,reason_1,reason_2,reason_3
C00077,0.3146316569951081,High daily watch time (4.8 hours) decreased churn risk,High engagement rate (8/10) decreased churn risk,Delayed payment history increased churn risk
C00078,0.5656959359203781,Frequent support queries (9) increased churn risk,Delayed payment history increased churn risk,Satisfaction score (6/10) decreased churn risk
C00079,0.833962955313833,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk,Low daily watch time (0.9 hours) increased churn risk
C00080,0.37914027404088974,Low satisfaction score (2/10) increased churn risk,High engagement rate (8/10) decreased churn risk,High daily watch time (4.4 hours) decreased churn risk
C00081,0.8397848271462626,Frequent support queries (9) increased churn risk,Low satisfaction score (3/10) increased churn risk,Short subscription history (1 months) increased churn risk
C00082,0.07436692024507145,High satisfaction score (9/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk
C00083,0.2824683113700994,Long subscription history (24 months) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk,High engagement rate (8/10) decreased churn risk
C00084,0.5572236505187598,High satisfaction score (8/10) decreased churn risk,Few promotional offers used (0) increased churn risk,High engagement rate (8/10) decreased churn risk
C00085,0.10461528374648701,Few support queries (1) decreased churn risk,High daily watch time (5.0 hours) decreased churn risk,On-Time payment history decreased churn risk
C00086,0.06451367279086166,Many promotional offers used (5) decreased churn risk,High satisfaction score (7/10) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00087,0.8627616094716488,Low satisfaction score (2/10) increased churn risk,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk
C00088,0.6349493889242122,Few support queries (0) decreased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk
C00089,0.7517170929372745,Many promotional offers used (5) decreased churn risk,Frequent support queries (8) increased churn risk,Low daily watch time (1.0 hours) increased churn risk
C00090,0.15760977547255708,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk,Low engagement rate (4/10) increased churn risk
C00091,0.32063995934046985,High satisfaction score (9/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk
C00092,0.17312954461554772,Low satisfaction score (2/10) increased churn risk,High engagement rate (9/10) decreased churn risk,High daily watch time (4.6 hours) decreased churn risk
C00093,0.052518008601629404,High satisfaction score (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00094,0.02418492010709733,Long subscription history (24 months) decreased churn risk,Few support queries (1) decreased churn risk,High engagement rate (7/10) decreased churn risk
C00095,0.2976623546982559,High satisfaction score (7/10) decreased churn risk,Low engagement rate (4/10) increased churn risk,Few promotional offers used (1) increased churn risk
C00096,0.916076504211651,Low satisfaction score (2/10) increased churn risk,Low engagement rate (2/10) increased churn risk,Few support queries (2) decreased churn risk
C00097,0.2264350642872745,Low satisfaction score (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Many promotional offers used (4) decreased churn risk
C00098,0.9652311198052963,Low satisfaction score (1/10) increased churn risk,Low engagement rate (3/10) increased churn risk,Short subscription history (1 months) increased churn risk
C00099,0.17028114061353147,Low satisfaction score (1/10) increased churn risk,Few support queries (1) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00100,0.8452506398914623,Low engagement rate (1/10) increased churn risk,High satisfaction score (8/10) decreased churn risk,Frequent support queries (9) increased churn risk
C00101,0.658655874063647,Low satisfaction score (3/10) increased churn risk,Short subscription history (1 months) increased churn risk,High engagement rate (7/10) decreased churn risk
C00102,0.3049166146796738,Low engagement rate (1/10) increased churn risk,High satisfaction score (8/10) decreased churn risk,Long subscription history (24 months) decreased churn risk
C00103,0.0675517611471297,High engagement rate (10/10) decreased churn risk,High satisfaction score (8/10) decreased churn risk,Few promotional offers used (0) increased churn risk
C00104,0.668178280540327,High satisfaction score (10/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Frequent support queries (8) increased churn risk
C00105,0.5225644075135216,Frequent support queries (9) increased churn risk,Few promotional offers used (0) increased churn risk,High satisfaction score (7/10) decreased churn risk
C00106,0.8751740902957386,Low engagement rate (2/10) increased churn risk,Many promotional offers used (4) decreased churn risk,Short subscription history (3 months) increased churn risk
C00107,0.6878829633839983,Short subscription history (3 months) increased churn risk,Frequent support queries (7) increased churn risk,Delayed payment history increased churn risk
C00108,0.5378036787104519,Low satisfaction score (2/10) increased churn risk,High engagement rate (9/10) decreased churn risk,High daily watch time (4.4 hours) decreased churn risk
C00109,0.045345526282093096,Long subscription history (24 months) decreased churn risk,Low daily watch time (1.3 hours) increased churn risk,Many promotional offers used (4) decreased churn risk
C00110,0.950095195497845,Low satisfaction score (2/10) increased churn risk,Low engagement rate (2/10) increased churn risk,Short subscription history (3 months) increased churn risk
C00111,0.2858377828408841,Frequent support queries (10) increased churn risk,Long subscription history (24 months) decreased churn risk,High engagement rate (9/10) decreased churn risk
C00112,0.09154061562158572,High satisfaction score (8/10) decreased churn risk,High engagement rate (8/10) decreased churn risk,Short subscription history (3 months) increased churn risk
C00113,0.9977908458535365,Low satisfaction score (1/10) increased churn risk,Low engagement rate (1/10) increased churn risk,Frequent support queries (10) increased churn risk
C00114,0.48563820885055087,High satisfaction score (8/10) decreased churn risk,Low engagement rate (3/10) increased churn risk,Many promotional offers used (4) decreased churn risk
C00115,0.7665412525197876,Low satisfaction score (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Low engagement rate (4/10) increased churn risk
C00116,0.9083166271779081,Frequent support queries (10) increased churn risk,High satisfaction score (7/10) decreased churn risk,Short subscription history (1 months) increased churn risk
C00117,0.11984431680080598,High satisfaction score (9/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Frequent support queries (8) increased churn risk
C00118,0.5851020718273524,Frequent support queries (9) increased churn risk,High engagement rate (9/10) decreased churn risk,Low satisfaction score (3/10) increased churn risk
C00119,0.05380466243061054,Few support queries (2) decreased churn risk,High engagement rate (7/10) decreased churn risk,Low satisfaction score (4/10) increased churn risk
C00120,0.27869757151208874,Few support queries (2) decreased churn risk,Low satisfaction score (4/10) increased churn risk,On-Time payment history decreased churn risk
C00121,0.18719287778640875,Low satisfaction score (3/10) increased churn risk,High engagement rate (8/10) decreased churn risk,Many promotional offers used (4) decreased churn risk
C00122,0.17051509813012167,High satisfaction score (8/10) decreased churn risk,Few promotional offers used (1) increased churn risk,On-Time payment history decreased churn risk
C00123,0.7404343885460913,Frequent support queries (9) increased churn risk,High engagement rate (8/10) decreased churn risk,Few promotional offers used (1) increased churn risk
C00124,0.056842611948332934,Long subscription history (24 months) decreased churn risk,Few support queries (2) decreased churn risk,Daily watch time (1.6 hours) increased churn risk
C00125,0.9955549247535269,Low satisfaction score (2/10) increased churn risk,Frequent support queries (9) increased churn risk,Low daily watch time (0.9 hours) increased churn risk
C00126,0.8284235828253177,Low engagement rate (2/10) increased churn risk,Short subscription history (1 months) increased churn risk,Delayed payment history increased churn risk
C00127,0.01584676575458174,Long subscription history (24 months) decreased churn risk,High engagement rate (9/10) decreased churn risk,Many promotional offers used (4) decreased churn risk
C00128,0.07714101320454986,High satisfaction score (8/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00129,0.37469150111215255,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk,Low satisfaction score (3/10) increased churn risk
C00130,0.40601330475565334,High engagement rate (7/10) decreased churn risk,Low satisfaction score (4/10) increased churn risk,On-Time payment history decreased churn risk
C00131,0.7644104651865146,Low satisfaction score (1/10) increased churn risk,Short subscription history (1 months) increased churn risk,Many promotional offers used (4) decreased churn risk
C00132,0.4512290404596356,Few support queries (0) decreased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk
C00133,0.4843857968819352,Low satisfaction score (1/10) increased churn risk,High engagement rate (9/10) decreased churn risk,Low daily watch time (1.1 hours) increased churn risk
C00134,0.46437705914387983,Low engagement rate (3/10) increased churn risk,Short subscription history (1 months) increased churn risk,On-Time payment history decreased churn risk
C00135,0.010100046875079286,High satisfaction score (10/10) decreased churn risk,High daily watch time (4.4 hours) decreased churn risk,Many promotional offers used (4) decreased churn risk
C00136,0.6639989062169971,High satisfaction score (8/10) decreased churn risk,Frequent support queries (9) increased churn risk,Short subscription history (3 months) increased churn risk
C00137,0.20930559971620694,High satisfaction score (10/10) decreased churn risk,Low daily watch time (0.7 hours) increased churn risk,High engagement rate (8/10) decreased churn risk
C00138,0.9669648834627733,Frequent support queries (9) increased churn risk,Low satisfaction score (3/10) increased churn risk,Low daily watch time (1.3 hours) increased churn risk
C00139,0.6030492784960043,Low satisfaction score (2/10) increased churn risk,Few support queries (2) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00140,0.26264238428811143,High engagement rate (10/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Delayed payment history increased churn risk
C00141,0.7280689894981967,Low engagement rate (1/10) increased churn risk,Low satisfaction score (2/10) increased churn risk,Few support queries (2) decreased churn risk
C00142,0.8294343628250467,Low engagement rate (1/10) increased churn risk,Short subscription history (1 months) increased churn risk,Low daily watch time (1.5 hours) increased churn risk
C00143,0.3056372619903876,High satisfaction score (9/10) decreased churn risk,Support queries logged (3) decreased churn risk,Low engagement rate (4/10) increased churn risk
C00144,0.02212026571610572,High satisfaction score (10/10) decreased churn risk,High engagement rate (10/10) decreased churn risk,Long subscription history (24 months) decreased churn risk
C00145,0.25638457845656587,Low engagement rate (2/10) increased churn risk,High satisfaction score (7/10) decreased churn risk,Support queries logged (3) decreased churn risk
C00146,0.547231558162992,High satisfaction score (10/10) decreased churn risk,Frequent support queries (10) increased churn risk,Low engagement rate (2/10) increased churn risk
C00147,0.27644412289674913,High satisfaction score (9/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Low daily watch time (0.7 hours) increased churn risk
C00148,0.9900301004993263,Low engagement rate (1/10) increased churn risk,Low satisfaction score (3/10) increased churn risk,Few promotional offers used (1) increased churn risk
C00149,0.4094774542432817,Frequent support queries (9) increased churn risk,Short subscription history (1 months) increased churn risk,Many promotional offers used (4) decreased churn risk
C00150,0.06381670401865369,High satisfaction score (10/10) decreased churn risk,Few promotional offers used (0) increased churn risk,High daily watch time (4.6 hours) decreased churn risk
C00151,0.9499168445120628,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,Low daily watch time (1.2 hours) increased churn risk
C00152,0.10105964883382185,Long subscription history (24 months) decreased churn risk,Few support queries (1) decreased churn risk,High daily watch time (4.9 hours) decreased churn risk
C00153,0.06025845188508743,High satisfaction score (9/10) decreased churn risk,Frequent support queries (9) increased churn risk,High engagement rate (9/10) decreased churn risk
C00154,0.008921919158644594,High satisfaction score (10/10) decreased churn risk,Few support queries (1) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00155,0.43825985920429195,Low engagement rate (2/10) increased churn risk,High satisfaction score (8/10) decreased churn risk,High daily watch time (4.6 hours) decreased churn risk
C00156,0.7084800836077569,Low satisfaction score (2/10) increased churn risk,Short subscription history (3 months) increased churn risk,Support queries logged (3) decreased churn risk
C00157,0.04323330827051692,Long subscription history (24 months) decreased churn risk,Few support queries (1) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00158,0.13625775024510853,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk,High satisfaction score (7/10) decreased churn risk
C00159,0.36907199602543356,Low engagement rate (2/10) increased churn risk,Many promotional offers used (4) decreased churn risk,On-Time payment history decreased churn risk
C00160,0.08821446062710359,High satisfaction score (8/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk
C00161,0.8474724543833692,Low satisfaction score (2/10) increased churn risk,Frequent support queries (9) increased churn risk,Low engagement rate (3/10) increased churn risk
C00162,0.4876031698983177,High daily watch time (4.6 hours) decreased churn risk,Support queries logged (3) decreased churn risk,Low engagement rate (4/10) increased churn risk
C00163,0.6100232110391337,Low engagement rate (1/10) increased churn risk,High satisfaction score (8/10) decreased churn risk,Few support queries (1) decreased churn risk
C00164,0.17934513636370927,Few support queries (0) decreased churn risk,Few promotional offers used (0) increased churn risk,High engagement rate (8/10) decreased churn risk
C00165,0.8822823193562624,Low engagement rate (2/10) increased churn risk,Frequent support queries (9) increased churn risk,High daily watch time (4.0 hours) decreased churn risk
C00166,0.3824678360850688,Low engagement rate (1/10) increased churn risk,Few support queries (0) decreased churn risk,High satisfaction score (7/10) decreased churn risk
C00167,0.9273606734230775,High engagement rate (10/10) decreased churn risk,Frequent support queries (9) increased churn risk,Few promotional offers used (0) increased churn risk
C00168,0.3151128992209254,Low engagement rate (1/10) increased churn risk,Few support queries (0) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00169,0.6681127186034993,Low satisfaction score (2/10) increased churn risk,High engagement rate (9/10) decreased churn risk,Frequent support queries (8) increased churn risk
C00170,0.21177100404452093,Low engagement rate (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00171,0.9310382716395813,Few promotional offers used (0) increased churn risk,Low daily watch time (1.0 hours) increased churn risk,Short subscription history (1 months) increased churn risk
C00172,0.15896193033501363,High satisfaction score (7/10) decreased churn risk,Short subscription history (1 months) increased churn risk,High daily watch time (4.3 hours) decreased churn risk
C00173,0.09459400584791716,High satisfaction score (8/10) decreased churn risk,Many promotional offers used (4) decreased churn risk,On-Time payment history decreased churn risk
C00174,0.1909571011157256,High satisfaction score (9/10) decreased churn risk,Short subscription history (3 months) increased churn risk,High daily watch time (4.1 hours) decreased churn risk
C00175,0.7965703912736416,Many promotional offers used (5) decreased churn risk,Low engagement rate (3/10) increased churn risk,Low satisfaction score (3/10) increased churn risk
C00176,0.14956058741705755,High satisfaction score (8/10) decreased churn risk,Few support queries (2) decreased churn risk,Short subscription history (1 months) increased churn risk
C00177,0.1794157926360689,High satisfaction score (10/10) decreased churn risk,High engagement rate (8/10) decreased churn risk,Low daily watch time (1.3 hours) increased churn risk
C00178,0.3304572666057681,High engagement rate (8/10) decreased churn risk,Low daily watch time (1.4 hours) increased churn risk,Short subscription history (3 months) increased churn risk
C00179,0.03200012566849273,High satisfaction score (8/10) decreased churn risk,High engagement rate (8/10) decreased churn risk,High daily watch time (4.4 hours) decreased churn risk
C00180,0.9636559341645048,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,Few support queries (2) decreased churn risk
C00181,0.3214990946532982,Long subscription history (24 months) decreased churn risk,Low engagement rate (3/10) increased churn risk,Low satisfaction score (3/10) increased churn risk
C00182,0.7092290449917737,Low engagement rate (2/10) increased churn risk,High daily watch time (4.3 hours) decreased churn risk,Few promotional offers used (1) increased churn risk
C00183,0.18108400195463864,Low engagement rate (2/10) increased churn risk,Few support queries (2) decreased churn risk,High satisfaction score (7/10) decreased churn risk
C00184,0.23713934826200542,High engagement rate (10/10) decreased churn risk,Frequent support queries (10) increased churn risk,High satisfaction score (8/10) decreased churn risk
C00185,0.444291358338104,Long subscription history (24 months) decreased churn risk,Few support queries (1) decreased churn risk,Few promotional offers used (0) increased churn risk
C00186,0.7358442396721102,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,High daily watch time (4.6 hours) decreased churn risk
C00187,0.9670081816915113,Low engagement rate (1/10) increased churn risk,Frequent support queries (10) increased churn risk,Long subscription history (24 months) decreased churn risk
C00188,0.036998924060089866,High satisfaction score (10/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00189,0.17990519315733378,High satisfaction score (10/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk
C00190,0.07936930184653494,Few support queries (0) decreased churn risk,Many promotional offers used (5) decreased churn risk,Delayed payment history increased churn risk
C00191,0.987033062716701,Low satisfaction score (1/10) increased churn risk,Few promotional offers used (0) increased churn risk,Low engagement rate (3/10) increased churn risk
C00192,0.03866737123634119,Long subscription history (24 months) decreased churn risk,High engagement rate (9/10) decreased churn risk,Low satisfaction score (3/10) increased churn risk
C00193,0.9817010650985508,Low satisfaction score (1/10) increased churn risk,Low engagement rate (2/10) increased churn risk,Frequent support queries (9) increased churn risk
C00194,0.38813154527049987,Low engagement rate (1/10) increased churn risk,Few support queries (0) decreased churn risk,On-Time payment history decreased churn risk
C00195,0.570679133356595,Low satisfaction score (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Low daily watch time (0.7 hours) increased churn risk
C00196,0.5599063293161467,Low engagement rate (3/10) increased churn risk,Low satisfaction score (3/10) increased churn risk,High daily watch time (4.5 hours) decreased churn risk
C00197,0.19254610102123926,High satisfaction score (10/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk
C00198,0.8283537637776113,Low satisfaction score (1/10) increased churn risk,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk
C00199,0.08969694610364647,High engagement rate (10/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (1) increased churn risk
C00200,0.6377183886194858,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Short subscription history (3 months) increased churn risk
C00201,0.17203876072964513,High satisfaction score (9/10) decreased churn risk,Delayed payment history increased churn risk,High engagement rate (7/10) decreased churn risk
