customer_id,churn_probability,reason_1,reason_2,reason_3,segment_name,subscription_length_months,customer_satisfaction_score,daily_watch_time_hours,engagement_rate,subscription_plan,support_queries_logged,age,monthly_income_usd,promotional_offers_used,number_of_profiles_created,device_used_most_often_desktop,device_used_most_often_laptop,device_used_most_often_mobile,device_used_most_often_smart_tv,device_used_most_often_tablet,genre_preference_action,genre_preference_comedy,genre_preference_documentary,genre_preference_drama,genre_preference_romance,genre_preference_sci_fi,genre_preference_thriller,region_africa,region_asia,region_europe,region_north_america,region_south_america,payment_history_delayed,payment_history_on_time,churn_status
C00011,0.1629896695263195,High satisfaction score (9/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Engaged but Payment-Fragile,1,9,2.88,9,1,3,27,1660,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
C00012,0.5432297701879897,Few promotional offers used (0) increased churn risk,Low daily watch time (0.8 hours) increased churn risk,High satisfaction score (7/10) decreased churn risk,Satisfied Loyal,6,7,0.78,6,1,3,44,9436,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
C00013,0.9792194122049304,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Frequent support queries (8) increased churn risk,Engaged but Payment-Fragile,3,3,1.17,9,3,8,70,4582,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
C00014,0.9743534726147796,Low satisfaction score (2/10) increased churn risk,Low engagement rate (3/10) increased churn risk,Short subscription history (1 months) increased churn risk,High-Risk Disengaged,1,2,2.7,3,2,5,62,3258,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
C00015,0.9436834311361518,Low satisfaction score (3/10) increased churn risk,Frequent support queries (7) increased churn risk,Delayed payment history increased churn risk,Engaged but Payment-Fragile,6,3,2.01,6,3,7,36,7283,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
C00016,0.487744689607248,Low satisfaction score (1/10) increased churn risk,High engagement rate (10/10) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk,Low-Satisfaction At-Risk,3,1,0.77,10,3,5,27,4807,4,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
C00017,0.996952723200836,Frequent support queries (10) increased churn risk,Low satisfaction score (2/10) increased churn risk,Low engagement rate (2/10) increased churn risk,High-Risk Disengaged,6,2,0.78,2,1,10,43,9913,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
C00018,0.357509258440868,Low engagement rate (2/10) increased churn risk,Many promotional offers used (5) decreased churn risk,High daily watch time (4.8 hours) decreased churn risk,Low-Satisfaction At-Risk,3,3,4.82,2,2,3,60,7265,5,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C00019,0.8974913585814758,High satisfaction score (9/10) decreased churn risk,Frequent support queries (9) increased churn risk,Few promotional offers used (0) increased churn risk,Engaged but Payment-Fragile,1,9,1.08,7,1,9,56,1229,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
C00020,0.6818823965876624,Low satisfaction score (2/10) increased churn risk,High engagement rate (9/10) decreased churn risk,High daily watch time (4.3 hours) decreased churn risk,Engaged but Payment-Fragile,6,2,4.27,9,1,6,48,6091,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
C00021,0.7391999623657851,Few promotional offers used (0) increased churn risk,High daily watch time (4.9 hours) decreased churn risk,Low engagement rate (3/10) increased churn risk,Low-Satisfaction At-Risk,6,3,4.91,3,3,3,70,5614,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C00022,0.2895476041156838,Low satisfaction score (4/10) increased churn risk,On-Time payment history decreased churn risk,High daily watch time (3.6 hours) decreased churn risk,Low-Satisfaction At-Risk,12,4,3.56,6,1,6,44,8947,3,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00023,0.4948334711654543,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk,Satisfied Loyal,24,7,0.81,1,3,7,67,6720,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
C00024,0.0188257533570509,Few support queries (0) decreased churn risk,Long subscription history (24 months) decreased churn risk,High engagement rate (8/10) decreased churn risk,Low-Satisfaction At-Risk,24,5,3.36,8,2,0,43,6368,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C00025,0.9492678877525068,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,Delayed payment history increased churn risk,High-Risk Disengaged,6,2,3.11,5,3,4,55,7359,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C00026,0.1913235541450344,High engagement rate (10/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk,Engaged but Payment-Fragile,1,6,0.77,10,1,5,64,3295,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
C00027,0.3411211798249515,High satisfaction score (9/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Frequent support queries (9) increased churn risk,High-Risk Disengaged,24,9,4.4,3,2,9,36,8345,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
C00028,0.0792348820240635,High engagement rate (10/10) decreased churn risk,Few support queries (0) decreased churn risk,Low satisfaction score (2/10) increased churn risk,Engaged but Payment-Fragile,3,2,2.11,10,2,0,23,8582,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
C00029,0.1137410295421985,High satisfaction score (10/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Low daily watch time (0.9 hours) increased churn risk,Engaged but Payment-Fragile,12,10,0.92,9,1,6,26,7472,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
C00030,0.9008061763440688,Frequent support queries (10) increased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Engaged but Payment-Fragile,1,7,2.07,9,1,10,43,6153,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
C00031,0.7483751158441165,Low engagement rate (1/10) increased churn risk,High satisfaction score (8/10) decreased churn risk,Low daily watch time (1.4 hours) increased churn risk,Satisfied Loyal,12,8,1.41,1,3,7,20,6097,1,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C00032,0.8580815380774269,Low engagement rate (2/10) increased churn risk,Frequent support queries (8) increased churn risk,Few promotional offers used (1) increased churn risk,High-Risk Disengaged,12,6,3.77,2,3,8,56,3059,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
C00033,0.3303913697505028,High satisfaction score (9/10) decreased churn risk,Frequent support queries (8) increased churn risk,Short subscription history (3 months) increased churn risk,Satisfied Loyal,3,9,3.48,6,3,8,25,9767,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
C00034,0.7945934347862467,Few promotional offers used (0) increased churn risk,High daily watch time (5.0 hours) decreased churn risk,Delayed payment history increased churn risk,Engaged but Payment-Fragile,12,4,4.97,6,3,6,70,2928,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
C00035,0.8428286791178976,High satisfaction score (10/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Few promotional offers used (0) increased churn risk,High-Risk Disengaged,3,10,1.68,1,2,3,37,7751,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
C00036,0.8298672707736736,Low satisfaction score (1/10) increased churn risk,Many promotional offers used (4) decreased churn risk,On-Time payment history decreased churn risk,Low-Satisfaction At-Risk,6,1,3.03,5,1,6,48,4277,4,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C00037,0.9403660623742586,Low satisfaction score (2/10) increased churn risk,Frequent support queries (9) increased churn risk,Short subscription history (3 months) increased churn risk,Low-Satisfaction At-Risk,3,2,1.93,6,1,9,25,6098,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
C00038,0.9657789514594378,Low satisfaction score (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Low engagement rate (3/10) increased churn risk,High-Risk Disengaged,6,1,1.61,3,1,6,69,6014,5,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
C00039,0.0131158434532625,High engagement rate (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,High daily watch time (4.9 hours) decreased churn risk,Low-Satisfaction At-Risk,6,6,4.93,9,3,4,42,8933,5,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
C00040,0.1703727608383006,Few support queries (1) decreased churn risk,High daily watch time (5.0 hours) decreased churn risk,Short subscription history (1 months) increased churn risk,Satisfied Loyal,1,6,5.0,5,1,1,30,1645,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
C00041,0.895917374802008,Few support queries (1) decreased churn risk,Short subscription history (1 months) increased churn risk,Low daily watch time (1.0 hours) increased churn risk,High-Risk Disengaged,1,5,1.04,4,2,1,57,1689,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
C00042,0.0330684365567121,Long subscription history (24 months) decreased churn risk,High daily watch time (4.7 hours) decreased churn risk,High engagement rate (8/10) decreased churn risk,Engaged but Payment-Fragile,24,4,4.7,8,2,3,37,2406,4,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
C00043,0.2794723551806625,High engagement rate (10/10) decreased churn risk,Low satisfaction score (3/10) increased churn risk,Many promotional offers used (4) decreased churn risk,Engaged but Payment-Fragile,6,3,2.68,10,3,5,27,5419,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
C00044,0.5624760639952583,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Low satisfaction score (3/10) increased churn risk,Engaged but Payment-Fragile,12,3,2.6,9,3,3,53,3696,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
C00045,0.612442766253017,High satisfaction score (8/10) decreased churn risk,Frequent support queries (9) increased churn risk,Short subscription history (3 months) increased churn risk,Engaged but Payment-Fragile,3,8,3.01,6,3,9,34,3487,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
C00046,0.063532718712021,High satisfaction score (10/10) decreased churn risk,Frequent support queries (10) increased churn risk,High engagement rate (9/10) decreased churn risk,Satisfied Loyal,6,10,0.71,9,2,10,44,4510,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C00047,0.8252623389930204,Frequent support queries (10) increased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk,Low-Satisfaction At-Risk,24,4,3.5,3,3,10,56,6064,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
C00048,0.5634336098488028,Few support queries (0) decreased churn risk,Low engagement rate (2/10) increased churn risk,Low daily watch time (0.6 hours) increased churn risk,Satisfied Loyal,6,7,0.58,2,3,0,62,7178,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
C00049,0.9619538480632124,Low satisfaction score (1/10) increased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Engaged but Payment-Fragile,3,1,1.48,9,1,6,34,9583,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
C00050,0.6587105288416406,Low satisfaction score (1/10) increased churn risk,Low engagement rate (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Low-Satisfaction At-Risk,24,1,4.83,2,1,5,19,7295,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00051,0.5665507723095506,Few promotional offers used (0) increased churn risk,Support queries logged (3) decreased churn risk,Low engagement rate (4/10) increased churn risk,Low-Satisfaction At-Risk,6,5,3.85,4,3,3,63,6180,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C00052,0.3555752718595596,Low engagement rate (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk,Satisfied Loyal,24,6,2.95,2,2,2,68,8261,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00053,0.1079739466925162,Few support queries (0) decreased churn risk,High satisfaction score (8/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,High-Risk Disengaged,24,8,1.23,3,1,0,56,5247,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
C00054,0.0673698349734753,Few support queries (0) decreased churn risk,High engagement rate (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,Engaged but Payment-Fragile,1,5,3.14,9,1,0,29,7004,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
C00055,0.8849300553431962,Low daily watch time (1.4 hours) increased churn risk,Short subscription history (3 months) increased churn risk,Low engagement rate (4/10) increased churn risk,Low-Satisfaction At-Risk,3,5,1.36,4,2,5,20,4544,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
C00056,0.6996379290977415,High satisfaction score (9/10) decreased churn risk,Frequent support queries (10) increased churn risk,Short subscription history (1 months) increased churn risk,Satisfied Loyal,1,9,2.33,5,3,10,38,3267,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
C00057,0.0799781042144519,High satisfaction score (10/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Short subscription history (1 months) increased churn risk,Engaged but Payment-Fragile,1,10,3.17,9,2,6,58,8364,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
C00058,0.2699682078494367,Long subscription history (24 months) decreased churn risk,Support queries logged (3) decreased churn risk,Few promotional offers used (1) increased churn risk,Low-Satisfaction At-Risk,24,4,2.46,5,1,3,48,3936,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
C00059,0.7077133798017549,Frequent support queries (10) increased churn risk,Low satisfaction score (2/10) increased churn risk,Low engagement rate (2/10) increased churn risk,Low-Satisfaction At-Risk,24,2,3.95,2,3,10,64,8518,4,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C00060,0.4612218634624813,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Low satisfaction score (4/10) increased churn risk,Low-Satisfaction At-Risk,24,4,2.83,1,3,5,18,1893,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
C00061,0.369192720099263,Few support queries (2) decreased churn risk,Short subscription history (3 months) increased churn risk,Few promotional offers used (1) increased churn risk,Engaged but Payment-Fragile,3,6,3.36,7,3,2,41,2540,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
C00062,0.0947918736731991,Few support queries (0) decreased churn risk,Many promotional offers used (4) decreased churn risk,Short subscription history (3 months) increased churn risk,Low-Satisfaction At-Risk,3,5,2.26,6,3,0,56,6313,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C00063,0.0648985926455293,High satisfaction score (8/10) decreased churn risk,Few promotional offers used (0) increased churn risk,High daily watch time (4.8 hours) decreased churn risk,Satisfied Loyal,6,8,4.83,8,2,4,44,1037,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
C00064,0.6925042487972327,Low engagement rate (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Delayed payment history increased churn risk,High-Risk Disengaged,6,5,3.14,1,3,5,49,8562,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
C00065,0.3338018259188708,High engagement rate (10/10) decreased churn risk,Low satisfaction score (2/10) increased churn risk,Many promotional offers used (4) decreased churn risk,Low-Satisfaction At-Risk,6,2,1.93,10,2,5,27,7201,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
C00066,0.4039917493347109,High engagement rate (8/10) decreased churn risk,Short subscription history (1 months) increased churn risk,Support queries logged (3) decreased churn risk,Engaged but Payment-Fragile,1,5,2.28,8,3,3,70,7085,3,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
C00067,0.0173956269259244,Few support queries (0) decreased churn risk,Long subscription history (24 months) decreased churn risk,High engagement rate (8/10) decreased churn risk,Low-Satisfaction At-Risk,24,5,3.18,8,1,0,61,4698,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C00068,0.5720878948807894,Low satisfaction score (1/10) increased churn risk,High daily watch time (4.3 hours) decreased churn risk,Support queries logged (3) decreased churn risk,Engaged but Payment-Fragile,12,1,4.32,6,3,3,37,3188,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
C00069,0.978233647018398,Low satisfaction score (1/10) increased churn risk,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk,High-Risk Disengaged,1,1,1.68,3,2,1,67,8818,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
C00070,0.1044647659992493,High satisfaction score (10/10) decreased churn risk,High engagement rate (10/10) decreased churn risk,Frequent support queries (9) increased churn risk,Satisfied Loyal,6,10,1.72,10,2,9,23,1533,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
C00071,0.2673651588755893,Low satisfaction score (1/10) increased churn risk,High engagement rate (9/10) decreased churn risk,Support queries logged (3) decreased churn risk,Low-Satisfaction At-Risk,12,1,2.74,9,1,3,49,649,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00072,0.0952570822484425,Low satisfaction score (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk,Low-Satisfaction At-Risk,24,2,3.12,3,2,3,31,9897,5,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00073,0.0221546535572522,High satisfaction score (10/10) decreased churn risk,Few support queries (2) decreased churn risk,Few promotional offers used (1) increased churn risk,Engaged but Payment-Fragile,12,10,2.68,7,3,2,26,7357,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
C00074,0.5001595590236386,Frequent support queries (10) increased churn risk,High daily watch time (4.6 hours) decreased churn risk,Delayed payment history increased churn risk,Engaged but Payment-Fragile,12,6,4.59,7,2,10,48,6488,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00075,0.9749696446740757,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,Frequent support queries (8) increased churn risk,Engaged but Payment-Fragile,6,2,1.97,7,1,8,57,2702,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
C00076,0.0163109712778661,High engagement rate (10/10) decreased churn risk,Few support queries (1) decreased churn risk,Short subscription history (1 months) increased churn risk,Low-Satisfaction At-Risk,1,6,4.03,10,2,1,41,3085,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
C00077,0.3146316569951081,High daily watch time (4.8 hours) decreased churn risk,High engagement rate (8/10) decreased churn risk,Delayed payment history increased churn risk,Engaged but Payment-Fragile,12,4,4.84,8,3,6,36,8691,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00078,0.5656959359203781,Frequent support queries (9) increased churn risk,Delayed payment history increased churn risk,Satisfaction score (6/10) decreased churn risk,High-Risk Disengaged,12,6,3.01,5,1,9,38,8645,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
C00079,0.833962955313833,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk,Low daily watch time (0.9 hours) increased churn risk,High-Risk Disengaged,6,6,0.87,3,3,1,44,2082,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
C00080,0.3791402740408897,Low satisfaction score (2/10) increased churn risk,High engagement rate (8/10) decreased churn risk,High daily watch time (4.4 hours) decreased churn risk,Engaged but Payment-Fragile,12,2,4.42,8,1,6,54,3866,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
C00081,0.8397848271462626,Frequent support queries (9) increased churn risk,Low satisfaction score (3/10) increased churn risk,Short subscription history (1 months) increased churn risk,Low-Satisfaction At-Risk,1,3,1.06,7,2,9,44,1717,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
C00082,0.0743669202450714,High satisfaction score (9/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk,Satisfied Loyal,24,9,2.82,6,3,7,35,3577,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C00083,0.2824683113700994,Long subscription history (24 months) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk,High engagement rate (8/10) decreased churn risk,Low-Satisfaction At-Risk,24,5,0.83,8,2,6,70,2676,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C00084,0.5572236505187598,High satisfaction score (8/10) decreased churn risk,Few promotional offers used (0) increased churn risk,High engagement rate (8/10) decreased churn risk,Engaged but Payment-Fragile,6,8,1.68,8,1,5,19,3394,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C00085,0.104615283746487,Few support queries (1) decreased churn risk,High daily watch time (5.0 hours) decreased churn risk,On-Time payment history decreased churn risk,Low-Satisfaction At-Risk,6,5,4.98,5,1,1,43,8991,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00086,0.0645136727908616,Many promotional offers used (5) decreased churn risk,High satisfaction score (7/10) decreased churn risk,High engagement rate (8/10) decreased churn risk,Satisfied Loyal,1,7,1.87,8,1,5,60,6731,5,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00087,0.8627616094716488,Low satisfaction score (2/10) increased churn risk,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk,High-Risk Disengaged,6,2,1.21,3,1,1,20,5244,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
C00088,0.6349493889242122,Few support queries (0) decreased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Engaged but Payment-Fragile,3,3,1.0,9,1,0,21,7865,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
C00089,0.7517170929372745,Many promotional offers used (5) decreased churn risk,Frequent support queries (8) increased churn risk,Low daily watch time (1.0 hours) increased churn risk,Engaged but Payment-Fragile,1,5,0.96,7,2,8,31,6014,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
C00090,0.157609775472557,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk,Low engagement rate (4/10) increased churn risk,High-Risk Disengaged,24,6,2.9,4,2,6,40,6615,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C00091,0.3206399593404698,High satisfaction score (9/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Satisfied Loyal,6,9,1.84,1,2,7,47,3897,5,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
C00092,0.1731295446155477,Low satisfaction score (2/10) increased churn risk,High engagement rate (9/10) decreased churn risk,High daily watch time (4.6 hours) decreased churn risk,Engaged but Payment-Fragile,12,2,4.57,9,1,5,36,8823,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
